difference,se,lower,upper,system,study,scale_var,scale_name
0.05067019549746732,0.013758656396863425,0.023703228959615005,0.07763716203531963,ASGHKGR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.10029893110882959,0.02288925685938643,0.05543598766443219,0.145161874553227,ASGHRVA5,PIRLS 2021,ASBGSLR,Students Like Reading
0.04712241565822772,0.025267447447478268,-0.0024017813388296783,0.09664661265528512,ASGHUNA5,PIRLS 2021,ASBGSLR,Students Like Reading
0.05210131799871398,0.012704622743762866,0.027200257420938765,0.0770023785764892,ASGHUNR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.09954457949161011,0.012111812574243168,0.0758054268460935,0.12328373213712672,ASGIRLR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.04390321832950228,0.01903267082751473,0.006599183507573415,0.08120725315143115,ASGISRA5,PIRLS 2021,ASBGSLR,Students Like Reading
0.054318612382129317,0.014082807479011084,0.026716309723267592,0.08192091504099104,ASGITAR5,PIRLS 2021,ASBGSLR,Students Like Reading
-0.04485718819864459,0.031239234658015706,-0.10608608812835538,0.01637171173106619,ASGJORR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.07146756217815664,0.02461913274058783,0.023214062006604495,0.11972106234970878,ASGKAZA5,PIRLS 2021,ASBGSLR,Students Like Reading
0.06900523603678188,0.013154800442862323,0.04322182716877173,0.09478864490479202,ASGKAZR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.04450892385365357,0.013675871617316862,0.01770421548371252,0.07131363222359462,ASGLTUA5,PIRLS 2021,ASBGSLR,Students Like Reading
0.051023212884048874,0.011690842463298866,0.028109161655983098,0.07393726411211465,ASGLTUR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.07870531461426644,0.008562188458484303,0.06192342523563721,0.09548720399289568,ASGMACR5,PIRLS 2021,ASBGSLR,Students Like Reading
-0.29378430823491897,0.03379369476000032,-0.3600199499645196,-0.22754866650531835,ASGMKDR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.028502715225199537,0.014751371843265804,-4.0997358760143723e-4,0.05741540403800051,ASGMLTR5,PIRLS 2021,ASBGSLR,Students Like Reading
-0.13407537517744572,0.01895699111216099,-0.17123107775728127,-0.09691967259761017,ASGMNER5,PIRLS 2021,ASBGSLR,Students Like Reading
-0.046061717949203995,0.0231155061182663,-0.09136810994100594,-7.553259574020477e-4,ASGNORA5,PIRLS 2021,ASBGSLR,Students Like Reading
0.10479374624221904,0.014778232664213397,0.07582841022036078,0.1337590822640773,ASGNZLA5,PIRLS 2021,ASBGSLR,Students Like Reading
0.04292406028051232,0.015919229800723435,0.011722369871094387,0.07412575068993026,ASGNZLR5,PIRLS 2021,ASBGSLR,Students Like Reading
-0.016604749878489145,0.018340711213654323,-0.05255254385725162,0.019343044100273328,ASGQATR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.058433402017856295,0.027052839360388145,0.00540983687149553,0.11145696716421706,ASGRUSA5,PIRLS 2021,ASBGSLR,Students Like Reading
-0.038965253449569914,0.0331824979964467,-0.10400294952260544,0.026072442623465614,ASGSAUA5,PIRLS 2021,ASBGSLR,Students Like Reading
-0.028541610346199064,0.0314400387536989,-0.09016408630344891,0.03308086561105077,ASGSAUR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.012000112028152543,0.01655194213216263,-0.020441694550886215,0.0444419186071913,ASGSRBR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.04469288217492107,0.018045307658991278,0.009324079163298166,0.08006168518654397,ASGSVKA5,PIRLS 2021,ASBGSLR,Students Like Reading
0.10471239861016635,0.013781315688202908,0.07770101986128865,0.13172377735904406,ASGSVNR5,PIRLS 2021,ASBGSLR,Students Like Reading
-0.027436506167472174,0.021029875932740392,-0.06865506299564333,0.013782050660698993,ASGSWEA5,PIRLS 2021,ASBGSLR,Students Like Reading
0.009352842528890903,0.015517970179220688,-0.021062379022381644,0.03976806408016345,ASGSWER5,PIRLS 2021,ASBGSLR,Students Like Reading
-0.1464831525192789,0.026112067346726726,-0.19766280451886328,-0.09530350051969452,ASGTURR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.011909981329205621,0.014125150362496676,-0.015775313381287865,0.039595276039699104,ASGTWNR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.11096598256867196,0.019525624911017798,0.07269575774307707,0.14923620739426685,ASGUSAR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.09913960805085686,0.016672487116170673,0.06646153330316235,0.13181768279855138,ASGZA6R5,PIRLS 2021,ASBGSLR,Students Like Reading
-0.5903457284733307,0.059304480983031135,-0.7065825112000717,-0.4741089457465896,BRA,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
0.07471769050587795,0.053604291891729244,-0.03034672160191136,0.17978210261366728,DNK,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
-0.025645802752706004,0.060624609563212056,-0.14447003749660164,0.09317843199118962,DNW,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
0.09137785767576645,0.09491983675567067,-0.09466502236534807,0.27742073771688097,DSH,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
-0.6161514246407052,0.05549907799141155,-0.7249296175038717,-0.5073732317775386,FRA,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
0.22258375638244843,0.0521301225010039,0.12040871628048079,0.3247587964844161,ITA,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
0.1723687188589551,0.05143100751949623,0.07156394412074249,0.2731734935971677,LTU,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
-0.1792794646282374,0.06333346948119617,-0.3034130648113819,-0.05514586444509291,LVA,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
-0.010248318092671127,0.04588884567371326,-0.10019045561314913,0.07969381942780687,POL,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
-0.17757069956351046,0.0694867406466848,-0.3137647112310127,-0.04137668789600826,SVK,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
-0.36317705697232583,0.05502142658451358,-0.4710190530779724,-0.25533506086667923,SWE,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
0.5673255200232532,0.04696339952650141,0.47527725695131046,0.659373783095196,TWN,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
