system,full,short,study,scale_var,scale_name,change
ASGISRA5,0.06160128107017539,0.058218889457196214,PIRLS 2021,ASBGSLR,Students Like Reading,-0.003382391612979173
ASGITAR5,0.04901567782550497,0.05847282685657139,PIRLS 2021,ASBGSLR,Students Like Reading,0.009457149031066418
ASGJORR5,0.12454035648192231,0.11950454542504459,PIRLS 2021,ASBGSLR,Students Like Reading,-0.005035811056877726
ASGKAZA5,0.04849769785569901,0.03670225442406622,PIRLS 2021,ASBGSLR,Students Like Reading,-0.011795443431632788
ASGKAZR5,-0.062055502482179635,-0.06492592378070469,PIRLS 2021,ASBGSLR,Students Like Reading,-0.002870421298525057
ASGLTUA5,0.010857256991060072,0.038521239550824184,PIRLS 2021,ASBGSLR,Students Like Reading,0.027663982559764114
ASGLTUR5,0.03785057324526261,0.0633779313057177,PIRLS 2021,ASBGSLR,Students Like Reading,0.025527358060455092
ASGMACR5,0.21491319742596535,0.22451259907635318,PIRLS 2021,ASBGSLR,Students Like Reading,0.009599401650387834
ASGMKDR5,0.04591117146819811,0.032068234805203995,PIRLS 2021,ASBGSLR,Students Like Reading,-0.013842936662994118
ASGMLTR5,0.00574762890947127,0.02255741469914364,PIRLS 2021,ASBGSLR,Students Like Reading,0.01680978578967237
ASGMNER5,0.07130916085451418,0.09050851195507785,PIRLS 2021,ASBGSLR,Students Like Reading,0.019199351100563672
ASGNORA5,0.2226944259344187,0.24526324821200923,PIRLS 2021,ASBGSLR,Students Like Reading,0.022568822277590522
ASGNZLA5,0.09291908065188258,0.1297597245678666,PIRLS 2021,ASBGSLR,Students Like Reading,0.03684064391598403
ASGNZLR5,0.05672504343626617,0.11689717622582688,PIRLS 2021,ASBGSLR,Students Like Reading,0.060172132789560705
ASGQATR5,0.1206349313323174,0.12834973842493164,PIRLS 2021,ASBGSLR,Students Like Reading,0.00771480709261424
ASGRUSA5,0.05416319885152463,0.08720166427322856,PIRLS 2021,ASBGSLR,Students Like Reading,0.03303846542170393
ASGSAUA5,0.19258183606135598,0.18662322884071197,PIRLS 2021,ASBGSLR,Students Like Reading,-0.005958607220644008
ASGSAUR5,0.17616241575941294,0.14390938003970571,PIRLS 2021,ASBGSLR,Students Like Reading,-0.032253035719707224
ASGSRBR5,0.017892469854291146,0.03347697464480384,PIRLS 2021,ASBGSLR,Students Like Reading,0.015584504790512696
ASGSVKA5,0.028412140233391843,0.06430891494549767,PIRLS 2021,ASBGSLR,Students Like Reading,0.03589677471210583
ASGSVNR5,0.11299434709152613,0.13033011821497506,PIRLS 2021,ASBGSLR,Students Like Reading,0.01733577112344893
ASGSWEA5,0.14131964340764927,0.17898691684256118,PIRLS 2021,ASBGSLR,Students Like Reading,0.03766727343491191
ASGSWER5,0.04884928933954669,0.06906275788695333,PIRLS 2021,ASBGSLR,Students Like Reading,0.02021346854740664
ASGTURR5,0.08584314804220029,0.08329157901944818,PIRLS 2021,ASBGSLR,Students Like Reading,-0.0025515690227521093
ASGTWNR5,0.19103858615783378,0.19048339329589387,PIRLS 2021,ASBGSLR,Students Like Reading,-5.551928619399182e-4
ASGUSAR5,0.1276347074700891,0.16544232194455832,PIRLS 2021,ASBGSLR,Students Like Reading,0.03780761447446923
ASGZA6R5,0.1874671119363721,0.16290930333184211,PIRLS 2021,ASBGSLR,Students Like Reading,-0.024557808604529996
BRA,0.013938285943732536,0.02365710482176384,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy,0.009718818878031303
